search topic,title,description,link
apple,Apple Inc. - Wikipedia,"Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market ...",https://en.wikipedia.org/wiki/Apple_Inc.
apple,Apple - Wikipedia,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the ...,https://en.wikipedia.org/wiki/Apple
apple,Apple - YouTube,"Welcome to the official Apple YouTube channel. Here you'll find news about product launches, tutorials, and other great content.",https://m.youtube.com/user/Apple/videos
apple,@apple • Instagram photos and videos,"28.9m Followers, 9 Following, 1070 Posts - See Instagram photos and videos from @apple.",https://www.instagram.com/apple/
apple,MacRumors: Apple News and Rumors,"६ घण्टा पहिले — Apple today released iOS 16.2 and iPadOS 16.2 to the public after more than a month of testing, and the update is a big one that adds a ...",https://www.macrumors.com/
amazon,Amazon.com Sign up for Prime Video,"Enjoy The Lord of the Rings: The Rings of Power and other Amazon Originals, popular movies, and hit TV shows — all available with your Prime membership.",https://www.primevideo.com/
amazon,About Amazon,"News announcements, original stories, and facts about Amazon.",https://www.aboutamazon.com/
amazon,Amazon Shopping - Apps on Google Play,Product Features. Amazon Shopping offers app-only benefits to help make shopping on Amazon faster and easier than shopping on your desktop.,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping&hl=en_US&gl=US
amazon,Amazon.jobs: Help us build Earth's most customer-centric ...,"Learn about Fulfillment center career opportunities, and see open jobs at our Amazon Fulfillment Portal. View fulfillment jobs ...",https://www.amazon.jobs/
amazon,Amazon Mechanical Turk,Amazon Mechanical Turk (MTurk) is a crowdsourcing marketplace that makes it easier for individuals and businesses to outsource their processes and jobs to a ...,https://www.mturk.com/
